[0] 0.004122     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df6000 0x4
[0] 0.004155     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df6004 0x4
[0] 0.004190     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1df8000 0x4
[0] 0.004224     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1df8004 0x4
[0] 0.004259     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfa000 0x4
[0] 0.004292     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfa004 0x4
[0] 0.004327     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfc000 0x4
[0] 0.004360     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfc004 0x4
[0] 0.004396     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dfe000 0x4
[0] 0.004428     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dfe004 0x4
[0] 0.004469     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204f40 0xe1dd2004 0x4
[0] 0.004506     RomRead:e01e567d:00:01: [HPC] HPCopy() use ch0 !
[0] 0.004650      SFRead:e0162d95:02:05: PROPTUNEAD_CreateFROMPropertyHandleToDRAM Addr:0x41287000
[0] 0.004769      SFRead:e01f6c63:02:03: PROPCOMBO_LoadProperty(395)
[0] 0.004808      SFRead:e01e567d:00:01: [HPC] HPCopy() use ch1 !
[0] 0.004874     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1dd4000 0x4
[0] 0.004914     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1dd4004 0x4
[0] 0.004999     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e00000 0x4
[0] 0.005035     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e00004 0x4
[0] 0.005138     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e02000 0x4
[0] 0.005173     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e02004 0x4
[0] 0.005209     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e04000 0x4
[0] 0.005243     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e04004 0x4
[0] 0.005278     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e06000 0x4
[0] 0.005312     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e06004 0x4
[0] 0.005347     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e08000 0x4
[0] 0.005380     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e08004 0x4
[0] 0.005415     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0a000 0x4
[0] 0.005449     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0a004 0x4
[0] 0.005484     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0c000 0x4
[0] 0.005518     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0c004 0x4
[0] 0.005553     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e0e000 0x4
[0] 0.005586     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e0e004 0x4
[0] 0.005620     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e10000 0x4
[0] 0.005653     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e10004 0x4
[0] 0.005687     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e12000 0x4
[0] 0.005721     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e12004 0x4
[0] 0.005755     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e14000 0x4
[0] 0.005787     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e14004 0x4
[0] 0.005821     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e16000 0x4
[0] 0.005856     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e16004 0x4
[0] 0.005891     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e18000 0x4
[0] 0.005924     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e18004 0x4
[0] 0.005958     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e1a000 0x4
[0] 0.005991     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e1a004 0x4
[0] 0.006025     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e1c000 0x4
[0] 0.006058     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e1c004 0x4
[0] 0.006093     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e1e000 0x4
[0] 0.006127     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e1e004 0x4
[0] 0.006162     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e20000 0x4
[0] 0.006195     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e20004 0x4
[0] 0.006230     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e22000 0x4
[0] 0.006263     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e22004 0x4
[0] 0.006298     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee0 0xe1e24000 0x4
[0] 0.006331     RomRead:e04eb4a5:02:01: ReadUncacheFromData 0x204ee4 0xe1e24004 0x4
